,Genre,Movies,Release_Date,WGross
1693,Genre: Romantic Comedy,Did You Hear About the Morgans?,"Release Date: December 18, 2009"," $85,280,250"
1694,Genre: Horror Thriller,The Stepfather (2009),"Release Date: October 16, 2009"," $31,198,531"
1695,Genre: Horror,The Uninvited,"Release Date: January 30, 2009"," $41,624,046"
1697,Genre: Horror,Saw VI,"Release Date: October 23, 2009"," $68,233,629"
1698,Genre: Comedy,Dance Flick,"Release Date: May 22, 2009"," $31,439,140"
1699,Genre: Thriller,The Fourth Kind,"Release Date: November 6, 2009"," $47,709,193"
1701,Genre: Family Adventure,Alice in Wonderland (2010),"Release Date: March 5, 2010"," $1,025,467,110"
1702,Genre: Action / Adventure,Iron Man 2,"Release Date: May 7, 2010"," $623,933,331"
1703,Genre: Romance,The Twilight Saga:Eclipse,"Release Date: June 30, 2010"," $698,491,347"
1704,Genre: Fantasy,Harry Potter and the Deathly Hallows Part 1,"Release Date: November 19, 2010"," $960,283,305"
1705,Genre: Sci-Fi Action,Inception,"Release Date: July 16, 2010"," $828,322,032"
1706,Genre: Animation,Despicable Me 3,"Release Date: June 30, 2017"," $1,033,508,147"
1707,Genre: Animation,Shrek Forever After,"Release Date: May 21, 2010"," $752,600,867"
1709,Genre: Animation,Tangled,"Release Date: November 24, 2010"," $591,794,936"
1710,Genre: Action Drama,The Karate Kid,"Release Date: June 11, 2010"," $359,126,022"
1711,Genre: Sci-Fi Action,Tron Legacy,"Release Date: December 17, 2010"," $400,062,763"
1712,Genre: Western,True Grit,"Release Date: December 22, 2010"," $252,276,927"
1713,Genre: Fantasy,Clash of the Titans (2010),"Release Date: April 2, 2010"," $493,214,993"
1714,Genre: Comedy,Grown Ups 2,"Release Date: July 12, 2013"," $246,984,278"
1715,Genre: Comedy,Little Fockers,"Release Date: December 22, 2010"," $310,650,585"
1716,Genre: Animation,Megamind,"Release Date: November 5, 2010"," $321,885,765"
1717,Genre: Historical Drama,The King's Speech,"Release Date: November 26, 2010"," $414,211,549"
1718,Genre: Fantasy,The Last Airbender,"Release Date: July 1, 2010"," $319,713,881"
1719,Genre: Period Drama,Shutter Island,"Release Date: February 19, 2010"," $294,804,195"
1720,Genre: Action Comedy,The Other Guys,"Release Date: August 6, 2010"," $170,432,927"
1721,Genre: Documentary,The Salt of the Earth,"Release Date: March 27, 2015"," $1,343,349"
1722,Genre: Comedy,Jackass 3-D,"Release Date: October 15, 2010"," $171,685,792"
1723,Genre: Romantic Comedy,Valentine's Day,"Release Date: February 12, 2010"," $216,485,654"
1724,Genre: Drama / Thriller,Black Swan,"Release Date: December 3, 2010"," $329,398,046"
1726,Genre: Fantasy,The Chronicles of Narnia:The Voyage of the Dawn Treader,"Release Date: December 10, 2010"," $415,686,217"
1727,Genre: Action,The Expendables 3,"Release Date: August 15, 2014"," $214,657,577"
1728,Genre: Comedy,Due Date,"Release Date: November 5, 2010"," $211,780,824"
1729,Genre: Family Comedy,Yogi Bear,"Release Date: December 17, 2010"," $201,584,141"
1730,Genre: Comedy,Date Night,"Release Date: April 9, 2010"," $152,263,880"
1731,Genre: Comedy / Drama,The Social Network,"Release Date: October 1, 2010"," $224,920,315"
1732,Genre: Romantic Comedy,Sex and the City 2,"Release Date: May 27, 2010"," $288,347,692"
1733,Genre: Action / Adventure,The Book of Eli,"Release Date: January 15, 2010"," $157,107,755"
1736,Genre: Adventure,Prince of Persia:The Sands of Time,"Release Date: May 28, 2010"," $336,365,676"
1738,Genre: Fantasy,Percy Jackson & The Olympians:The Lightning Thief,"Release Date: February 12, 2010"," $226,497,209"
1739,Genre: Horror,Paranormal Activity 2,"Release Date: October 22, 2010"," $177,512,032"
1740,Genre: Action Thriller,Unstoppable,"Release Date: November 12, 2010"," $167,805,466"
1741,Genre: Drama,Eat Pray Love,"Release Date: August 13, 2010"," $204,594,016"
1742,Genre: Romance,Dear John,"Release Date: February 5, 2010"," $114,977,104"
1743,Genre: Action,The A-Team,"Release Date: June 11, 2010"," $177,238,796"
1744,Genre: Comedy,Knight & Day,"Release Date: June 23, 2010"," $261,930,436"
1745,Genre: Comedy,Dinner for Schmucks,"Release Date: July 30, 2010"," $86,855,739"
1746,Genre: Romantic Thriller,The Tourist,"Release Date: December 10, 2010"," $278,346,189"
1747,Genre: Action Comedy,The Bounty Hunter,"Release Date: March 19, 2010"," $136,333,522"
1748,Genre: Comedy,Diary of a Wimpy Kid:The Long Haul,"Release Date: May 19, 2017"," $40,140,972"
1749,Genre: Fantasy,The Sorcerer's Apprentice,"Release Date: July 14, 2010"," $215,283,742"
1750,Genre: Horror,A Nightmare on Elm Street (2010),"Release Date: April 30, 2010"," $115,664,037"
1751,Genre: Drama,The Last Song,"Release Date: March 31, 2010"," $89,041,656"
1752,Genre: Horror,The Wolfman,"Release Date: February 12, 2010"," $139,789,765"
1753,Genre: Comedy,Get Him to the Greek,"Release Date: June 4, 2010"," $91,261,479"
1754,Genre: Action Horror,Resident Evil:Afterlife,"Release Date: September 10, 2010"," $300,228,084"
1755,Genre: Comedy / Drama,Tyler Perry's Why Did I Get Married Too?,"Release Date: April 2, 2010"," $60,673,972"
1756,Genre: Fantasy Comedy,Tooth Fairy,"Release Date: January 22, 2010"," $112,462,508"
1757,Genre: Sports Drama,Secretariat,"Release Date: October 8, 2010"," $60,251,371"
1758,Genre: Romantic Comedy,Easy A,"Release Date: September 17, 2010"," $74,952,305"
1759,Genre: Action / Crime,Takers,"Release Date: August 27, 2010"," $69,055,695"
1760,Genre: Animation,Legend of the Guardians:The Owls of Ga'Hoole,"Release Date: September 24, 2010"," $140,073,390"
1761,Genre: Comedy,Life as We Know It,"Release Date: October 8, 2010"," $105,648,706"
1762,Genre: Romance,Letters to Juliet,"Release Date: May 14, 2010"," $79,181,750"
1763,Genre: Drama,Wall Street:Money Never Sleeps,"Release Date: September 24, 2010"," $134,748,021"
1764,Genre: Sci-Fi Horror,Predators,"Release Date: July 9, 2010"," $127,233,108"
1766,Genre: Comedy,Hot Tub Time Machine 2,"Release Date: February 20, 2015"," $13,081,651"
1767,Genre: Action Comedy,Kick-Ass 2,"Release Date: August 16, 2013"," $60,795,985"
1770,Genre: Comedy,Cop Out,"Release Date: February 26, 2010"," $55,583,804"
1771,Genre: Family Comedy,Cats & Dogs:The Revenge of Kitty Galore,"Release Date: July 30, 2010"," $112,483,764"
1772,Genre: Drama / Thriller,Edge of Darkness,"Release Date: January 29, 2010"," $81,124,129"
1773,Genre: Adventure Comedy,Gulliver's Travels,"Release Date: December 25, 2010"," $237,382,724"
1774,Genre: Comedy,Death at a Funeral (2010),"Release Date: April 16, 2010"," $49,050,886"
1775,Genre: Music Drama,Step Up 3-D,"Release Date: August 6, 2010"," $159,291,809"
1776,Genre: Horror,The Last Exorcism Part II,"Release Date: March 1, 2013"," $15,179,302"
1777,Genre: Horror Thriller,Legion (2010),"Release Date: January 22, 2010"," $67,918,658"
1778,Genre: Musical,Burlesque,"Release Date: November 24, 2010"," $89,519,773"
1779,Genre: Horror,The Crazies,"Release Date: February 26, 2010"," $54,806,823"
1780,Genre: Drama,For Colored Girls,"Release Date: November 5, 2010"," $37,747,016"
1781,Genre: Romantic Comedy,The Back-Up Plan,"Release Date: April 23, 2010"," $77,477,008"
1782,Genre: Horror Comedy,Vampires Suck,"Release Date: August 18, 2010"," $80,547,866"
1784,Genre: Thriller,Green Zone,"Release Date: March 12, 2010"," $94,882,549"
1785,Genre: Family Comedy,Marmaduke,"Release Date: June 4, 2010"," $83,761,844"
1787,Genre: Drama,Hereafter,"Release Date: October 15, 2010"," $105,197,635"
1788,Genre: Romantic Comedy,When in Rome,"Release Date: January 29, 2010"," $43,042,835"
1789,Genre: Comedy / Drama,Love and Other Drugs,"Release Date: November 24, 2010"," $102,820,008"
1790,Genre: Romantic Comedy,She's Out of My League,"Release Date: March 12, 2010"," $49,779,728"
1791,Genre: Action Comedy,Scott Pilgrim vs. the World,"Release Date: August 13, 2010"," $47,664,559"
1792,Genre: Drama,Charlie St. Cloud,"Release Date: July 30, 2010"," $48,190,704"
1793,Genre: Comedy,Morning Glory,"Release Date: November 10, 2010"," $60,040,976"
1794,Genre: Comedy / Drama,How Do You Know,"Release Date: December 17, 2010"," $48,668,907"
1795,Genre: Horror,Daybreakers,"Release Date: January 8, 2010"," $51,416,464"
1796,Genre: Family,Nanny McPhee Returns,"Release Date: August 20, 2010"," $93,251,121"
1797,Genre: Comedy,The Switch,"Release Date: August 20, 2010"," $49,830,607"
1798,Genre: Action / Crime,Brooklyn's Finest,"Release Date: March 5, 2010"," $36,440,201"
1799,Genre: Action,Machete Kills,"Release Date: October 11, 2013"," $15,008,161"
1800,Genre: Fantasy,Harry Potter and the Deathly Hallows Part 2,"Release Date: July 15, 2011"," $1,341,511,219"
1801,Genre: Sci-Fi Action,Transformers:Dark of the Moon,"Release Date: June 29, 2011"," $1,123,794,079"
1802,Genre: Romance,The Twilight Saga:Breaking Dawn Part 1,"Release Date: November 18, 2011"," $712,205,856"
1803,Genre: Comedy,The Hangover Part II,"Release Date: May 26, 2011"," $586,764,305"
1804,Genre: Period Adventure,Pirates of the Caribbean:On Stranger Tides,"Release Date: May 20, 2011"," $1,045,713,802"
1805,Genre: Action,Fast Five,"Release Date: April 29, 2011"," $626,137,675"
1806,Genre: Action,Mission:Impossible - Ghost Protocol,"Release Date: December 16, 2011"," $694,713,380"
1807,Genre: Animation,Cars 2,"Release Date: June 24, 2011"," $562,110,557"
1808,Genre: Adventure,Sherlock Holmes:A Game of Shadows,"Release Date: December 16, 2011"," $545,448,418"
1810,Genre: Sci-Fi Action,Rise of the Planet of the Apes,"Release Date: August 5, 2011"," $481,801,049"
1811,Genre: Action / Adventure,Captain America:The First Avenger,"Release Date: July 22, 2011"," $370,569,774"
1812,Genre: Drama,God Help the Girl,"Release Date: September 5, 2014"," $102,757"
1813,Genre: Comedy,Bridesmaids,"Release Date: May 13, 2011"," $288,383,523"
1814,Genre: Animation,Kung Fu Panda 2,"Release Date: May 26, 2011"," $665,692,281"
1816,Genre: Action / Adventure,X-Men:First Class,"Release Date: June 3, 2011"," $353,624,124"
1817,Genre: Drama,"Rio, I Love You","Release Date: April 15, 2016"," $31,982"
1818,Genre: Animation,Smurfs:The Lost Village,"Release Date: April 7, 2017"," $197,183,546"
1819,Genre: Family Comedy,Alvin and the Chipmunks:Chipwrecked,"Release Date: December 16, 2011"," $342,695,435"
1820,Genre: Sci-Fi,Super 8,"Release Date: June 10, 2011"," $260,095,986"
1821,Genre: Animation,Rango,"Release Date: March 4, 2011"," $245,724,603"
1822,Genre: Comedy,Horrible Bosses 2,"Release Date: November 26, 2014"," $107,670,357"
1823,Genre: Action / Adventure,Green Lantern,"Release Date: June 17, 2011"," $219,851,172"
1824,Genre: Foreign,The Other Side of Hope,"Release Date: December 1, 2017"," $118,777"
1825,Genre: Horror,Paranormal Activity:The Ghost Dimension,"Release Date: October 23, 2015"," $78,903,124"
1826,Genre: Romantic Comedy,Just Go With It,"Release Date: February 11, 2011"," $214,945,591"
1827,Genre: Thriller,The Girl with the Dragon Tattoo (2011),"Release Date: December 21, 2011"," $232,617,430"
1828,Genre: Comedy,Bad Teacher,"Release Date: June 24, 2011"," $216,197,492"
1829,Genre: Sci-Fi Action,Cowboys & Aliens,"Release Date: July 29, 2011"," $174,822,325"
1830,Genre: Animation,Gnomeo and Juliet,"Release Date: February 11, 2011"," $193,967,670"
1831,Genre: Action / Adventure,The Green Hornet,"Release Date: January 14, 2011"," $227,817,248"
1833,Genre: Family Comedy,Muppets Most Wanted,"Release Date: March 21, 2014"," $80,383,290"
1834,Genre: Action Drama,Real Steel,"Release Date: October 7, 2011"," $299,268,508"
1836,Genre: Sci-Fi Action,Battle:Los Angeles,"Release Date: March 11, 2011"," $211,819,354"
1837,Genre: Fantasy Drama,Immortals,"Release Date: November 11, 2011"," $226,904,017"
1838,Genre: Comedy / Drama,The Descendants,"Release Date: November 16, 2011"," $177,243,185"
1839,Genre: Drama,The Zookeeper's Wife,"Release Date: March 31, 2017"," $23,172,607"
1840,Genre: War,War Horse,"Release Date: December 25, 2011"," $177,584,879"
1841,Genre: Action Thriller,Limitless,"Release Date: March 18, 2011"," $161,849,455"
1842,Genre: Comedy,Tower Heist,"Release Date: November 4, 2011"," $152,930,623"
1843,Genre: Animation,The Adventures of Tintin,"Release Date: December 21, 2011"," $373,993,951"
1844,Genre: Action Thriller,Contagion,"Release Date: September 9, 2011"," $135,458,097"
1845,Genre: Comedy / Drama,We Bought a Zoo,"Release Date: December 23, 2011"," $120,081,841"
1846,Genre: Sports Drama,Moneyball,"Release Date: September 23, 2011"," $110,206,216"
1847,Genre: Comedy,Jack and Jill,"Release Date: November 11, 2011"," $149,673,788"
1848,Genre: Family Adventure,Hugo,"Release Date: November 23, 2011"," $185,770,160"
1849,Genre: Documentary,Justin Bieber:Never Say Never,"Release Date: February 11, 2011"," $99,036,827"
1850,Genre: Fantasy,Tale of Tales,"Release Date: April 22, 2016"," $118,925"
1851,Genre: Comedy,No Strings Attached,"Release Date: January 21, 2011"," $149,228,077"
1852,Genre: Family Comedy,Mr. Popper's Penguins,"Release Date: June 17, 2011"," $187,361,754"
1853,Genre: Animation,Happy Feet Two,"Release Date: November 18, 2011"," $150,406,466"
1855,Genre: Sci-Fi Thriller,The Adjustment Bureau,"Release Date: March 4, 2011"," $127,869,379"
1856,Genre: Drama,Water for Elephants,"Release Date: April 22, 2011"," $117,094,902"
1857,Genre: Crime Drama,The Lincoln Lawyer,"Release Date: March 18, 2011"," $75,009,200"
1858,Genre: Romantic Comedy,Midnight in Paris,"Release Date: May 20, 2011"," $151,119,219"
1859,Genre: Comedy,Friends with Benefits,"Release Date: July 22, 2011"," $149,542,245"
1860,Genre: Sci-Fi Adventure,I Am Number Four,"Release Date: February 18, 2011"," $149,878,437"
1861,Genre: Sci-Fi Thriller,Source Code,"Release Date: April 1, 2011"," $147,332,697"
1862,Genre: Comedy,The New Year's Eve of Old Lee,"Release Date: February 12, 2016"," $25,358"
1864,Genre: Comedy,Tyler Perry's Madea's Big Happy Family,"Release Date: April 22, 2011"," $54,161,287"
1865,Genre: Comedy,Diary of a Wimpy Kid:Rodrick Rules,"Release Date: March 25, 2011"," $72,417,394"
1866,Genre: Musical,Footloose (2011),"Release Date: October 14, 2011"," $63,543,328"
1867,Genre: Comedy,The Dilemma,"Release Date: January 14, 2011"," $69,721,966"
1868,Genre: Animation,Arthur Christmas,"Release Date: November 23, 2011"," $147,419,472"
1869,Genre: Comedy,Hall Pass,"Release Date: February 25, 2011"," $83,160,734"
1870,Genre: Comedy,The Disaster Artist,"Release Date: December 1, 2017"," $19,035,339"
1871,Genre: Sports Drama,Soul Surfer,"Release Date: April 8, 2011"," $47,088,990"
1872,Genre: Horror,Final Destination 5,"Release Date: August 12, 2011"," $157,887,643"
1873,Genre: Thriller,The Ides of March,"Release Date: October 7, 2011"," $75,993,061"
1875,Genre: Romantic Comedy,Something Borrowed,"Release Date: May 6, 2011"," $60,183,821"
1876,Genre: Family Adventure,Spy Kids:All the Time in the World,"Release Date: August 19, 2011"," $85,564,310"
1877,Genre: Horror,Scream 4,"Release Date: April 15, 2011"," $97,138,686"
1879,Genre: Drama / Thriller,Red Riding Hood,"Release Date: March 11, 2011"," $89,162,162"
1882,Genre: Drama,J. Edgar,"Release Date: November 9, 2011"," $84,920,539"
1883,Genre: Thriller,The Roommate,"Release Date: February 4, 2011"," $40,492,759"
1884,Genre: Comedy,Jumping the Broom,"Release Date: May 6, 2011"," $37,710,610"
1885,Genre: Comedy,The Change-Up,"Release Date: August 5, 2011"," $75,450,437"
1887,Genre: Action,Colombiana,"Release Date: August 26, 2011"," $60,965,854"
1888,Genre: Action,Sucker Punch,"Release Date: March 25, 2011"," $89,792,502"
1889,Genre: Romantic Comedy,Larry Crowne,"Release Date: July 1, 2011"," $72,008,245"
1891,Genre: Drama,A Taxi Driver,"Release Date: August 11, 2017"," $81,674,009"
1892,Genre: Comedy / Drama,50/50,"Release Date: September 30, 2011"," $39,187,783"
1893,Genre: Drama,Courageous,"Release Date: September 30, 2011"," $34,522,221"
1894,Genre: Thriller,The Rite,"Release Date: January 28, 2011"," $96,047,633"
1896,Genre: Drama,Extremely Loud & Incredibly Close,"Release Date: December 25, 2011"," $55,247,881"
1897,Genre: Drama / Thriller,The Debt,"Release Date: August 31, 2011"," $45,636,368"
1898,Genre: Comedy,The Sitter,"Release Date: December 9, 2011"," $34,942,188"
1899,Genre: Drama,The Iron Lady,"Release Date: December 30, 2011"," $114,956,699"
1900,Genre: Action / Adventure,Marvel's The Avengers,"Release Date: May 4, 2012"," $1,518,812,988"
1901,Genre: Action Thriller,The Dark Knight Rises,"Release Date: July 20, 2012"," $1,084,939,099"
1902,Genre: Action / Adventure,The Hunger Games:Mockingjay - Part 2,"Release Date: November 20, 2015"," $653,428,261"
1903,Genre: Action,Skyfall,"Release Date: November 9, 2012"," $1,108,561,013"
1904,Genre: Fantasy,The Hobbit:An Unexpected Journey,"Release Date: December 14, 2012"," $1,021,103,568"
1905,Genre: Romance,The Twilight Saga:Breaking Dawn Part 2,"Release Date: November 16, 2012"," $829,746,820"
1907,Genre: Action,Only The Brave,"Release Date: October 20, 2017"," $23,017,937"
1908,Genre: Comedy,Ted 2,"Release Date: June 26, 2015"," $216,691,733"
1909,Genre: Animation,Madagascar 3:Europe's Most Wanted,"Release Date: June 8, 2012"," $746,921,274"
1910,Genre: Animation,Dr. Seuss' The Lorax,"Release Date: March 2, 2012"," $348,840,316"
1912,Genre: Historical Drama,Lincoln,"Release Date: November 9, 2012"," $275,293,450"
1913,Genre: Sci-Fi Comedy,MIB 3,"Release Date: May 25, 2012"," $624,026,776"
1914,Genre: Western,Django Unchained,"Release Date: December 25, 2012"," $425,368,238"
